path,expected_class,predicted_class,confidence,is_uncertain
data\external_test_realwaste\cardboard\Cardboard_1.jpg,cardboard,paper,0.989255,False
data\external_test_realwaste\cardboard\Cardboard_100.jpg,cardboard,trash,0.819184,False
data\external_test_realwaste\cardboard\Cardboard_101.jpg,cardboard,trash,0.868511,False
data\external_test_realwaste\cardboard\Cardboard_102.jpg,cardboard,trash,0.816885,False
data\external_test_realwaste\cardboard\Cardboard_103.jpg,cardboard,trash,0.968799,False
data\external_test_realwaste\cardboard\Cardboard_104.jpg,cardboard,trash,0.547154,True
data\external_test_realwaste\cardboard\Cardboard_105.jpg,cardboard,trash,0.983129,False
data\external_test_realwaste\cardboard\Cardboard_106.jpg,cardboard,paper,0.996863,False
data\external_test_realwaste\cardboard\Cardboard_108.jpg,cardboard,paper,0.869315,False
data\external_test_realwaste\cardboard\Cardboard_109.jpg,cardboard,paper,0.566853,True
data\external_test_realwaste\cardboard\Cardboard_110.jpg,cardboard,trash,0.996403,False
data\external_test_realwaste\cardboard\Cardboard_111.jpg,cardboard,trash,0.751715,False
data\external_test_realwaste\cardboard\Cardboard_112.jpg,cardboard,paper,0.69443,False
data\external_test_realwaste\cardboard\Cardboard_113.jpg,cardboard,paper,0.85899,False
data\external_test_realwaste\cardboard\Cardboard_114.jpg,cardboard,trash,0.99364,False
data\external_test_realwaste\cardboard\Cardboard_115.jpg,cardboard,trash,0.990768,False
data\external_test_realwaste\cardboard\Cardboard_116.jpg,cardboard,trash,0.939536,False
data\external_test_realwaste\cardboard\Cardboard_117.jpg,cardboard,trash,0.999622,False
data\external_test_realwaste\cardboard\Cardboard_118.jpg,cardboard,trash,0.98213,False
data\external_test_realwaste\cardboard\Cardboard_119.jpg,cardboard,trash,0.963922,False
data\external_test_realwaste\cardboard\Cardboard_12.jpg,cardboard,paper,0.999834,False
data\external_test_realwaste\cardboard\Cardboard_120.jpg,cardboard,trash,0.526007,True
data\external_test_realwaste\cardboard\Cardboard_121.jpg,cardboard,trash,0.999834,False
